screen_date,factor_rank,symbol,factor_score,signal_entry_price,stop_loss,take_profit,timing_reason,already_held,queued_for_buy
2024-09-12,1,601298,-29.356107534938843,8.15,7.7425,,"oversold-bounce: RSI=29.4, close>7.86",False,True
2024-09-12,2,600900,-29.732106359042305,27.86,26.467,,"oversold-bounce: RSI=29.7, close>26.31",True,False
2024-09-12,3,300476,-29.775940937947013,27.02,25.668999999999997,,"oversold-bounce: RSI=29.8, close>26.42",False,True
2024-09-19,1,600025,-28.031903054067357,10.3,9.785,,"oversold-bounce: RSI=28.0, close>9.93",True,False
2024-09-20,1,600025,-27.028167707099456,10.24,9.728,,"oversold-bounce: RSI=27.0, close>9.94",True,False
2025-01-02,1,300015,-28.50342124932996,12.72,12.084,,"oversold-bounce: RSI=28.5, close>12.48",False,True
2025-01-02,2,600196,-29.236914198114903,24.42,23.199,,"oversold-bounce: RSI=29.2, close>24.16",False,True
2025-01-03,1,603260,-28.213842434853447,53.83,51.13849999999999,,"oversold-bounce: RSI=28.2, close>52.08",False,True
2025-01-06,1,000963,-28.649229587644584,32.8,31.159999999999997,,"oversold-bounce: RSI=28.6, close>31.86",False,True
2025-01-08,1,603288,-29.973407542516014,42.65,40.5175,,"oversold-bounce: RSI=30.0, close>39.58",False,True
2025-02-05,1,603288,-28.501254668504956,40.51,38.4845,,"oversold-bounce: RSI=28.5, close>39.70",False,True
2025-04-07,1,603019,-23.439718567097373,59.4,56.42999999999999,,"oversold-bounce: RSI=23.4, close>57.87",False,True
2025-04-07,2,600570,-23.46648720600659,24.8,23.56,,"oversold-bounce: RSI=23.5, close>24.51",False,True
2025-04-07,3,603986,-25.77559576194966,104.2,98.99,,"oversold-bounce: RSI=25.8, close>98.78",False,True
2025-04-07,4,300033,-26.166066456927922,246.18,233.871,,"oversold-bounce: RSI=26.2, close>213.77",False,True
2025-04-07,5,300251,-29.748898811187644,18.07,17.1665,,"oversold-bounce: RSI=29.7, close>11.44",False,True
2025-04-07,6,688256,-29.899612431646574,565.16,536.9019999999999,,"oversold-bounce: RSI=29.9, close>446.92",False,True
2025-04-08,1,603986,-25.2933005410369,103.48,98.306,,"oversold-bounce: RSI=25.3, close>98.86",True,False
2025-04-08,2,603259,-27.07239932934776,51.61,49.0295,,"oversold-bounce: RSI=27.1, close>50.49",False,True
2025-04-08,3,300033,-29.741487553592307,251.3,238.735,,"oversold-bounce: RSI=29.7, close>214.47",True,False
2025-04-09,1,603259,-26.69699833599401,51.25,48.6875,,"oversold-bounce: RSI=26.7, close>50.52",True,False
2025-04-09,2,603986,-28.264634484822096,104.96,99.71199999999999,,"oversold-bounce: RSI=28.3, close>98.96",True,False
2025-04-10,1,603259,-29.756470302793204,52.3,49.684999999999995,,"oversold-bounce: RSI=29.8, close>50.56",True,False
2025-04-11,1,603259,-29.503872757543874,52.1,49.495,,"oversold-bounce: RSI=29.5, close>50.60",True,False
2025-05-30,1,688256,-29.942193403617367,603.66,573.477,,"oversold-bounce: RSI=29.9, close>527.03",False,True
2025-06-17,1,688256,-28.56680166701709,573.3,544.6349999999999,,"oversold-bounce: RSI=28.6, close>546.87",False,True
2025-07-25,1,601728,-29.973813151134763,7.38,7.010999999999999,,"oversold-bounce: RSI=30.0, close>7.37",False,True
2025-12-11,1,600660,-29.807464915134503,61.5,58.425,,"oversold-bounce: RSI=29.8, close>60.81",False,True
2026-01-22,1,300750,-29.188818499887688,345.8,328.51,,"oversold-bounce: RSI=29.2, close>311.34",False,True
2026-01-26,1,300750,-27.787568908695405,342.05,324.9475,,"oversold-bounce: RSI=27.8, close>312.30",True,False
2026-01-28,1,300750,-27.193816427313365,339.99,322.9905,,"oversold-bounce: RSI=27.2, close>313.40",True,False
2026-02-03,1,688256,-26.236390144645497,1128.0,1071.6,,"oversold-bounce: RSI=26.2, close>1042.13",False,True
2026-02-04,1,688256,-22.912252748828536,1068.0,1014.5999999999999,,"oversold-bounce: RSI=22.9, close>1044.28",True,False
2026-02-09,1,688256,-29.900907109907408,1086.8,1032.4599999999998,,"oversold-bounce: RSI=29.9, close>1050.48",False,True
2026-03-18,1,603799,-29.999862871937907,60.64,57.608,,"oversold-bounce: RSI=30.0, close>56.00",False,True
2026-03-19,1,603799,-25.303638454374024,56.51,53.68449999999999,,"oversold-bounce: RSI=25.3, close>56.11",True,False
2026-03-19,2,600362,-28.628584000162647,45.67,43.3865,,"oversold-bounce: RSI=28.6, close>37.26",False,True
2026-03-19,3,000408,-28.88410127220544,72.44,68.818,,"oversold-bounce: RSI=28.9, close>61.52",False,True
2026-03-19,4,603993,-29.194927165276212,17.85,16.9575,,"oversold-bounce: RSI=29.2, close>15.08",False,True
