decision_date,planned_exec_date,symbol,reason,event,exit_layer
2023-05-23,2023-05-24,MAR,trailing_stop: close=169.54 <= stop=173.21,exit_signal,STOP_TRAIL
2023-05-23,2023-05-24,VRTX,trailing_stop: close=333.51 <= stop=337.08,exit_signal,STOP_TRAIL
2023-05-23,2023-05-24,CDNS,trailing_stop: close=205.76 <= stop=207.58,exit_signal,STOP_TRAIL
2023-05-31,2023-06-01,MU,trailing_stop: close=68.20 <= stop=69.04,exit_signal,STOP_TRAIL
2023-06-02,2023-06-05,MSFT,take_profit: close=335.40 >= target=334.21,exit_signal,TAKE_PROFIT
2023-06-07,2023-06-08,FTNT,trailing_stop: close=67.06 <= stop=67.46,exit_signal,STOP_TRAIL
2023-06-22,2023-06-23,CEG,trailing_stop: close=89.25 <= stop=90.48,exit_signal,STOP_TRAIL
2023-06-22,2023-06-23,CTSH,trailing_stop: close=62.60 <= stop=62.63,exit_signal,STOP_TRAIL
2023-07-07,2023-07-10,COST,trailing_stop: close=525.05 <= stop=527.28,exit_signal,STOP_TRAIL
2023-07-11,2023-07-12,TTD,take_profit: close=82.69 >= target=79.13,exit_signal,TAKE_PROFIT
2023-07-11,2023-07-12,AAPL,trailing_stop: close=188.08 <= stop=188.37,exit_signal,STOP_TRAIL
2023-07-13,2023-07-14,FAST,trailing_stop: close=56.70 <= stop=57.03,exit_signal,STOP_TRAIL
2023-07-17,2023-07-18,VRSK,take_profit: close=229.97 >= target=228.45,exit_signal,TAKE_PROFIT
2023-07-19,2023-07-20,ASML,trailing_stop: close=715.78 <= stop=721.11,exit_signal,STOP_TRAIL
2023-07-21,2023-07-24,ISRG,trailing_stop: close=336.66 <= stop=341.45,exit_signal,STOP_TRAIL
2023-07-26,2023-07-27,CSGP,trailing_stop: close=84.38 <= stop=88.45,exit_signal,STOP_TRAIL
2023-07-26,2023-07-27,PAYX,take_profit: close=127.75 >= target=126.57,exit_signal,TAKE_PROFIT
