date,equity,benchmark
2024-11-15,1060472.7903188015,1103787.718872292
2024-11-18,1078847.7521614013,1098656.514390873
2024-11-19,1085017.5146477015,1106029.3182284022
2024-11-20,1076780.5146477015,1108499.5273451484
2024-11-21,1078592.5146477015,1109479.8794208665
2024-11-22,1048374.5146477015,1075105.2592203852
2024-11-25,1048016.5729931014,1070208.2267808826
2024-11-26,1047424.7954528016,1068009.4569906334
2024-11-27,1064752.0549055017,1086604.163311916
2024-11-28,1054975.2240138017,1077010.8967871428
2024-11-29,1065498.2240138017,1089256.8152546678
2024-12-02,1062408.2240138017,1097891.978828845
2024-12-03,1065931.9217927016,1099076.4666275638
2024-12-04,1057243.3035027017,1093143.1811854723
2024-12-05,1053280.4526659015,1090648.7761451555
2024-12-06,1060450.5759955016,1104986.3904882767
2024-12-09,1068380.5759955016,1103159.1810875763
2024-12-10,1072893.3420715015,1111242.844472775
2024-12-11,1075971.6051130018,1109350.0001529627
2024-12-12,1087891.6051130018,1120383.8975294293
2024-12-13,1064031.6051130018,1093872.9524894964
2024-12-16,1056662.0553342018,1087938.2764770847
2024-12-17,1064124.1555509018,1090772.5369036505
2024-12-18,1072141.5107333018,1096295.0478731643
2024-12-19,1076091.5107333018,1097289.0275380202
2024-12-20,1071618.0188770017,1092360.846323346
2024-12-23,1069016.5448219017,1093981.6950885335
2024-12-24,1077827.5051580018,1107919.6595216382
2024-12-25,1087246.5462386017,1108459.4789199273
2024-12-26,1103146.4238401018,1108974.2680524534
2024-12-27,1094738.542490102,1107180.7104535012
2024-12-30,1098565.542490102,1112193.4383436416
2024-12-31,1062784.542490102,1094354.0898202744
2025-01-02,1027227.1768941018,1062505.5796634099
2025-01-03,1018948.0362214018,1049926.4805471727
2025-01-06,1018536.6973273018,1048203.563920485
2025-01-07,1021125.5261289019,1055750.4671620992
2025-01-08,1023969.8554074019,1053833.983146844
2025-01-09,1026402.602082202,1051236.9540168988
2025-01-10,1003924.870390502,1038055.4598379652
2025-01-13,985161.291979302,1035283.2188476789
2025-01-14,993461.882935102,1062545.9062026944
2025-01-15,982900.312588502,1055728.2180369762
2025-01-16,970339.698499202,1056940.2391280346
2025-01-17,1010304.321703602,1060266.2052198115
2025-01-20,1030238.321703602,1065086.756291705
2025-01-21,1050800.401368402,1065904.1335258994
2025-01-22,1076672.401368402,1056003.8290744335
2025-01-23,1053991.401368402,1057874.7023831874
2025-01-24,1069454.401368402,1065973.3839278438
2025-01-27,1072422.401368402,1061583.6315411385
2025-02-05,1035420.401368402,1055466.5127027207
2025-02-06,1052716.067939102,1068745.346804066
2025-02-07,1054498.753837802,1082615.4514055469
2025-02-10,1049348.1460248022,1084940.206866803
2025-02-11,1068137.1460248022,1079954.4560408741
2025-02-12,1089818.1460248022,1090168.7512706337
2025-02-13,1081192.952401102,1086074.356019932
2025-02-14,1082379.106139102,1095493.8012546839
2025-02-17,1075483.106139102,1097826.900137861
2025-02-18,1069761.106139102,1088199.9818113402
2025-02-19,1073658.106139102,1095813.9105423864
2025-02-20,1073992.868731202,1092681.2337251126
2025-02-21,1075162.9141460021,1106461.2293698464
2025-02-24,1074467.5675660023,1104034.1279330256
2025-02-25,1073964.8506084022,1091778.7535873237
2025-02-26,1087012.8350302023,1101315.2848430339
2025-02-27,1080095.0086557022,1103588.867316508
2025-02-28,1038829.0086557022,1081877.3366796018
2025-03-03,1028163.2653179022,1081439.3070287488
2025-03-04,1021479.1756121023,1080534.6019784478
2025-03-05,1025338.0906948023,1085359.8809894298
2025-03-06,1037227.0093996023,1100285.1503498536
2025-03-07,1043158.0093996023,1096885.7621451716
2025-03-10,1047480.8891808023,1092655.0910030934
2025-03-11,1054927.5421393022,1096163.2218068126
2025-03-12,1053747.5421393022,1092218.4519225608
2025-03-13,1044338.5421393022,1087865.132478244
2025-03-14,1064910.5136713022,1114279.8500520212
2025-03-17,1053903.5136713022,1111562.9537604777
2025-03-18,1070197.5136713022,1114604.1310506845
2025-03-19,1066164.5136713022,1115284.1199372462
2025-03-20,1061066.5136713022,1105501.1796208026
2025-03-21,1038289.5136713022,1088732.0140158364
2025-03-24,1040617.0968559023,1094336.8467483043
2025-03-25,1028820.9376919024,1093626.5434287626
2025-03-26,1018266.3952639024,1090028.3036682967
2025-03-27,1017333.4395159024,1093659.0827742545
2025-03-28,1013303.4395159024,1088862.727625932
2025-03-31,1000137.5647786024,1081114.4698019577
2025-04-01,991372.7922984024,1081219.5969181627
2025-04-02,979537.2197395025,1080302.3767349797
2025-04-03,964653.2197395025,1073938.2926077005
2025-04-07,900143.9645598024,998274.0241186077
2025-04-08,904439.2297242025,1015327.4222970164
2025-04-09,912894.6786028026,1025349.2625944649
2025-04-10,913110.7969994026,1038788.0122826294
2025-04-11,907725.8504175026,1043071.5250968741
2025-04-14,911529.8504175026,1045470.2588991633
2025-04-15,920520.3716965026,1046052.3516351857
2025-04-16,938236.3716965026,1049274.303067014
2025-04-17,948751.3716965026,1049107.990856722
2025-04-18,944561.3716965026,1049191.7031899963
2025-04-21,938279.3716965026,1052628.6367933226
2025-04-22,946577.3716965026,1052370.2688278356
2025-04-23,933664.2287994026,1053185.1430354537
2025-04-24,937258.4760114027,1052482.905023769
2025-04-25,927403.4760114027,1053216.2918106257
2025-04-28,929022.4760114027,1051721.428716445
2025-04-29,929708.3706119027,1049902.0065095378
2025-04-30,917182.3706119027,1048648.8245370027
2025-05-06,914450.9705115027,1059209.09366242
2025-05-07,914870.6537927027,1065629.3568306344
2025-05-08,914554.6537927027,1071544.5648585637
2025-05-09,925420.6537927027,1069670.3541810417
2025-05-12,915822.6537927027,1082033.3586695245
2025-05-13,927354.6537927027,1083604.1469031859
2025-05-14,928944.0258519028,1096662.4365517527
2025-05-15,933770.8684717028,1086646.992877777
2025-05-16,930397.8684717028,1081609.2347218734
2025-05-19,923945.4546499028,1078288.5527973128
2025-05-20,937116.4546499028,1084136.1791076823
2025-05-21,943950.0728029028,1089200.6362137327
2025-05-22,945537.0728029028,1088500.9012286244
2025-05-23,944692.1184467027,1079714.999831741
