date,n_positions,market_value,cash
2020-03-10,0,0.0,952212.3863589133
2020-03-11,0,0.0,952212.3863589133
2020-03-12,0,0.0,952212.3863589133
2020-03-13,0,0.0,952212.3863589133
2020-03-16,0,0.0,952212.3863589133
2020-03-17,0,0.0,952212.3863589133
2020-03-18,0,0.0,952212.3863589133
2020-03-19,0,0.0,952212.3863589133
2020-03-20,0,0.0,952212.3863589133
2020-03-23,0,0.0,952212.3863589133
2020-03-24,0,0.0,952212.3863589133
2020-03-25,0,0.0,952212.3863589133
2020-03-26,0,0.0,952212.3863589133
2020-03-27,0,0.0,952212.3863589133
2020-03-30,0,0.0,952212.3863589133
2020-03-31,0,0.0,952212.3863589133
2020-04-01,0,0.0,952212.3863589133
2020-04-02,0,0.0,952212.3863589133
2020-04-03,0,0.0,952212.3863589133
2020-04-06,0,0.0,952212.3863589133
2020-04-07,0,0.0,952212.3863589133
2020-04-08,0,0.0,952212.3863589133
2020-04-09,0,0.0,952212.3863589133
2020-04-14,0,0.0,952212.3863589133
2020-04-15,0,0.0,952212.3863589133
2020-04-16,0,0.0,952212.3863589133
2020-04-17,0,0.0,952212.3863589133
2020-04-20,0,0.0,952212.3863589133
2020-04-21,0,0.0,952212.3863589133
2020-04-22,0,0.0,952212.3863589133
2020-04-23,0,0.0,952212.3863589133
2020-04-24,0,0.0,952212.3863589133
2020-04-27,0,0.0,952212.3863589133
2020-04-28,0,0.0,952212.3863589133
2020-04-29,0,0.0,952212.3863589133
2020-05-04,0,0.0,952212.3863589133
2020-05-05,0,0.0,952212.3863589133
2020-05-06,0,0.0,952212.3863589133
2020-05-07,0,0.0,952212.3863589133
2020-05-08,0,0.0,952212.3863589133
2020-05-11,0,0.0,952212.3863589133
2020-05-12,0,0.0,952212.3863589133
2020-05-13,0,0.0,952212.3863589133
2020-05-14,0,0.0,952212.3863589133
2020-05-15,0,0.0,952212.3863589133
2020-05-18,0,0.0,952212.3863589133
2020-05-19,0,0.0,952212.3863589133
2020-05-20,0,0.0,952212.3863589133
2020-05-21,0,0.0,952212.3863589133
2020-05-22,0,0.0,952212.3863589133
2020-05-25,0,0.0,952212.3863589133
2020-05-26,0,0.0,952212.3863589133
2020-05-27,0,0.0,952212.3863589133
2020-05-28,0,0.0,952212.3863589133
2020-05-29,0,0.0,952212.3863589133
2020-06-01,0,0.0,952212.3863589133
2020-06-02,0,0.0,952212.3863589133
2020-06-03,0,0.0,952212.3863589133
2020-06-04,0,0.0,952212.3863589133
2020-06-05,0,0.0,952212.3863589133
2020-06-08,0,0.0,952212.3863589133
2020-06-09,0,0.0,952212.3863589133
2020-06-10,0,0.0,952212.3863589133
2020-06-11,0,5722.816319028265,952212.3863589133
2020-06-12,0,0.0,960098.902737311
2020-06-15,0,0.0,960098.902737311
2020-06-16,0,0.0,960098.902737311
2020-06-17,0,0.0,960098.902737311
2020-06-18,0,0.0,960098.902737311
2020-06-19,0,0.0,960098.902737311
2020-06-22,0,0.0,960098.902737311
2020-06-23,0,0.0,960098.902737311
2020-06-24,1,177120.0,781627.137265311
2020-06-26,1,171680.0,783793.7312877269
2020-06-29,1,167520.0,783793.7312877269
2020-06-30,1,167680.0,783793.7312877269
2020-07-02,1,171520.0,783793.7312877269
2020-07-03,1,176640.0,783793.7312877269
2020-07-06,1,166078.23527764494,783793.7312877269
2020-07-07,2,375742.77324749064,584064.3604467269
2020-07-08,2,375482.6349787845,584064.3604467269
2020-07-09,2,391643.2617597829,584064.3604467269
2020-07-10,2,389541.72936852404,584064.3604467269
2020-07-13,2,384851.7521606523,584064.3604467269
2020-07-14,2,377175.65271822794,584064.3604467269
2020-07-15,1,183058.8869338578,778815.6542067269
2020-07-16,0,4235.875992625253,966568.073347227
2020-07-17,0,1611.6066473957617,966568.073347227
2020-07-20,0,-1349.0605184837477,966568.073347227
2020-07-21,0,-6361.13511976297,966568.073347227
2020-07-22,0,-208.71647007006686,966568.073347227
2020-07-23,0,-3352.1701755626127,966568.073347227
2020-07-24,0,5034.549327998655,966568.073347227
2020-07-27,0,5374.964810955804,966568.073347227
2020-07-28,0,2064.35366751079,966568.073347227
2020-07-29,0,628.2674353210023,966568.073347227
2020-07-30,0,2513.927906107623,966568.073347227
2020-07-31,0,3398.488754013204,966568.073347227
2020-08-03,0,2545.9241113621974,966568.073347227
2020-08-04,0,-2121.5035869422136,966568.073347227
2020-08-05,0,-4195.223489732132,966568.073347227
2020-08-06,0,-3085.572052089148,966568.073347227
2020-08-07,0,1404.1282412817236,966568.073347227
2020-08-10,0,4232.348242286709,966568.073347227
2020-08-11,0,-316.2611447137315,966568.073347227
2020-08-12,1,197469.74980319105,768686.101559727
2020-08-13,1,195498.53084135358,768686.101559727
2020-08-14,1,198461.61011347745,768686.101559727
2020-08-17,1,204966.93902880768,768686.101559727
2020-08-18,1,202421.51389874995,768686.101559727
2020-08-19,1,203284.8587039695,768686.101559727
2020-08-20,1,202195.9647434235,768686.101559727
2020-08-21,1,198987.79354507115,768686.101559727
2020-08-24,1,195184.6971720272,768686.101559727
2020-08-25,1,194934.84738827695,768686.101559727
2020-08-26,1,192119.9295607484,768686.101559727
2020-08-27,1,189172.80772734527,768686.101559727
2020-08-28,0,-1952.0354143875884,962803.854994227
2020-08-31,0,3759.1891400892055,962803.854994227
2020-09-01,0,2645.978753834148,962803.854994227
2020-09-02,0,2451.9497758344514,962803.854994227
2020-09-03,0,4507.719692307757,962803.854994227
2020-09-04,0,6463.1213458162965,962803.854994227
2020-09-07,0,0.0,974483.001597098
2020-09-08,0,0.0,974483.001597098
2020-09-09,0,0.0,974483.001597098
2020-09-10,0,0.0,974483.001597098
2020-09-11,0,0.0,974483.001597098
